name,Count!!RACE!!Total population,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!Asian alone,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Hispanic or Latino,Count!!HISPANIC OR LATINO BY RACE!!Total population!!Not Hispanic or Latino!!White alone,Zip Code Area
ZCTA5 00601,17242,10,0,0,1,0,17185,37,00601
ZCTA5 00602,37548,21,3,0,10,10,37278,213,00602
ZCTA5 00603,49804,60,5,1,80,49,48996,584,00603
ZCTA5 00606,5009,5,0,0,1,2,4974,26,00606
ZCTA5 00610,25731,20,0,4,19,5,25489,179,00610
ZCTA5 00611,1671,1,0,0,0,2,1654,12,00611
ZCTA5 00612,62425,21,0,0,46,38,61908,374,00612
ZCTA5 00616,9828,3,0,0,7,0,9786,27,00616
ZCTA5 00617,22541,7,12,0,8,3,22430,70,00617
ZCTA5 00622,7838,5,0,0,16,2,7702,110,00622
ZCTA5 00623,39320,20,3,0,25,32,38887,317,00623
ZCTA5 00624,21709,4,0,0,20,8,21598,69,00624
ZCTA5 00627,32873,16,3,0,8,5,32570,250,00627
ZCTA5 00631,1414,1,0,0,0,0,1407,4,00631
ZCTA5 00636,555,0,0,0,1,0,545,9,00636
ZCTA5 00637,23124,9,1,0,11,4,22996,92,00637
ZCTA5 00638,18109,5,3,0,5,14,18004,60,00638
ZCTA5 00641,24292,3,2,3,8,9,24113,147,00641
ZCTA5 00646,36272,92,4,2,67,88,35056,926,00646
ZCTA5 00647,4611,1,0,0,2,0,4574,30,00647
ZCTA5 00650,13637,6,0,0,7,4,13566,45,00650
ZCTA5 00652,4020,1,0,0,0,2,4005,10,00652
ZCTA5 00653,9244,5,0,0,12,0,9156,65,00653
ZCTA5 00656,17965,19,0,2,3,1,17903,29,00656
ZCTA5 00659,37421,24,2,0,45,21,37111,211,00659
ZCTA5 00660,15448,8,1,0,15,7,15333,75,00660
ZCTA5 00662,40770,37,1,1,42,23,40232,399,00662
ZCTA5 00664,15066,1,0,0,10,3,14987,57,00664
ZCTA5 00667,23522,4,0,1,20,7,23342,130,00667
ZCTA5 00669,27833,12,5,0,9,9,27635,116,00669
ZCTA5 00670,8828,12,0,0,7,4,8756,44,00670
ZCTA5 00674,39345,13,0,0,31,20,39054,196,00674
ZCTA5 00676,36706,11,2,0,23,14,36566,77,00676
ZCTA5 00677,15379,29,6,0,24,11,14600,691,00677
ZCTA5 00678,25410,18,0,2,8,7,25206,161,00678
ZCTA5 00680,46056,22,4,0,44,31,45650,290,00680
ZCTA5 00682,28299,26,0,0,64,53,27719,410,00682
ZCTA5 00683,29788,13,1,0,27,16,29571,145,00683
ZCTA5 00685,40294,11,4,0,15,5,40050,171,00685
ZCTA5 00687,28727,13,2,1,1,6,28604,86,00687
ZCTA5 00688,12443,1,0,0,9,5,12375,49,00688
ZCTA5 00690,5326,3,0,0,9,6,5261,44,00690
ZCTA5 00692,32873,12,5,0,57,44,32457,248,00692
ZCTA5 00693,56095,48,10,0,31,13,55690,279,00693
ZCTA5 00694,231,0,0,0,0,0,228,3,00694
ZCTA5 00698,33774,13,3,2,10,15,33590,131,00698
ZCTA5 00703,25332,10,1,0,12,5,25203,89,00703
ZCTA5 00704,6865,6,0,0,13,0,6786,60,00704
ZCTA5 00705,24467,28,0,0,19,3,24239,141,00705
ZCTA5 00707,10544,6,0,0,19,2,10485,31,00707
ZCTA5 00714,15802,14,1,0,26,7,15667,69,00714
ZCTA5 00715,2299,2,0,0,2,1,2283,9,00715
ZCTA5 00716,28423,16,3,0,15,36,28140,195,00716
ZCTA5 00717,14199,16,0,0,22,12,14033,100,00717
ZCTA5 00718,23290,13,0,0,16,14,23095,135,00718
ZCTA5 00719,30063,10,2,0,11,1,29948,87,00719
ZCTA5 00720,20331,2,6,0,14,3,20245,57,00720
ZCTA5 00723,15983,16,0,0,17,0,15876,66,00723
ZCTA5 00725,77223,52,9,4,67,34,76642,335,00725
ZCTA5 00727,54207,38,2,2,36,54,53775,250,00727
ZCTA5 00728,36675,16,1,0,26,31,36369,218,00728
ZCTA5 00729,47393,31,3,0,93,26,47071,145,00729
ZCTA5 00730,30521,17,8,0,25,9,30289,158,00730
ZCTA5 00731,12292,4,1,1,8,5,12205,58,00731
ZCTA5 00735,11299,6,4,0,24,11,11092,144,00735
