NAME,COUNT,PCT2PRACE,PCTAIAN,PCTAPI,PCTBLACK,PCTHISPANIC,PCTWHITE,NAME
AARON,3646,0.137,0.055,2.057,3.264,2.88,91.607,AARON
ABBAS,59,0.0,0.0,25.424,3.39,0.0,71.186,ABBAS
ABBEY,57,0.0,0.0,0.0,3.509,0.0,96.491,ABBEY
ABBIE,74,0.0,0.0,0.0,2.703,1.351,95.946,ABBIE
ABBY,262,0.0,0.0,2.29,1.527,1.527,94.656,ABBY
ABDUL,221,0.452,0.452,47.511,6.787,0.452,44.344,ABDUL
ABDULLAH,44,0.0,0.0,22.727,9.091,2.273,65.909,ABDULLAH
ABE,31,0.0,0.0,3.226,12.903,6.452,77.419,ABE
ABEL,327,0.0,0.0,2.446,2.141,82.569,12.844,ABEL
ABELARDO,76,0.0,0.0,11.842,0.0,78.947,9.211,ABELARDO
ABHIJIT,34,0.0,0.0,82.353,0.0,0.0,17.647,ABHIJIT
ABHISHEK,18,0.0,0.0,100.0,0.0,0.0,0.0,ABHISHEK
ABIGAIL,418,0.0,0.0,4.785,1.435,12.201,81.579,ABIGAIL
ABNER,41,0.0,0.0,14.634,12.195,39.024,34.146,ABNER
ABRAHAM,413,0.0,1.453,12.349,7.748,30.751,47.7,ABRAHAM
ABRAM,43,0.0,0.0,2.326,6.977,9.302,81.395,ABRAM
ADA,199,0.0,0.503,8.543,7.035,30.653,53.266,ADA
ADALBERTO,69,0.0,0.0,0.0,0.0,94.203,5.797,ADALBERTO
ADAM,4725,0.127,0.085,1.016,0.635,1.989,96.148,ADAM
ADAN,146,0.0,0.0,0.685,2.055,91.781,5.479,ADAN
ADDIE,49,0.0,2.041,2.041,26.531,2.041,67.347,ADDIE
ADEL,77,0.0,0.0,14.286,5.195,9.091,71.429,ADEL
ADELA,122,0.0,0.0,8.197,0.0,63.115,28.689,ADELA
ADELAIDA,44,0.0,0.0,34.091,0.0,52.273,13.636,ADELAIDA
ADELAIDE,41,0.0,0.0,0.0,12.195,12.195,75.61,ADELAIDE
ADELE,193,0.518,0.0,2.591,2.591,0.518,93.782,ADELE
ADELINA,62,0.0,1.613,8.065,1.613,62.903,25.806,ADELINA
ADELINE,66,1.515,0.0,15.152,7.576,10.606,65.152,ADELINE
ADINA,55,0.0,0.0,1.818,5.455,3.636,89.091,ADINA
ADMIR,15,0.0,0.0,0.0,0.0,0.0,100.0,ADMIR
ADNAN,66,0.0,1.515,30.303,1.515,0.0,66.667,ADNAN
ADOLFO,179,0.0,0.0,2.235,0.559,87.151,10.056,ADOLFO
ADOLPH,44,0.0,0.0,0.0,15.909,11.364,72.727,ADOLPH
ADRIA,40,0.0,0.0,0.0,0.0,10.0,90.0,ADRIA
ADRIAN,865,0.347,0.347,2.659,11.098,36.301,49.249,ADRIAN
ADRIANA,489,0.0,0.204,0.613,0.818,62.372,35.992,ADRIANA
ADRIANE,58,0.0,0.0,1.724,15.517,6.897,75.862,ADRIANE
ADRIANNA,30,0.0,0.0,3.333,3.333,43.333,50.0,ADRIANNA
ADRIANNE,95,0.0,0.0,1.053,6.316,3.158,89.474,ADRIANNE
ADRIENNE,644,0.155,0.155,1.553,12.733,2.019,83.385,ADRIENNE
AFSHIN,37,2.703,0.0,13.514,0.0,0.0,83.784,AFSHIN
AGATA,48,0.0,0.0,0.0,0.0,2.083,97.917,AGATA
AGATHA,36,0.0,2.778,16.667,16.667,2.778,61.111,AGATHA
